RGB Hex,HSL,RGB
#d93806,"hsl(14,95%,44%)","rgb(217,56,6)"
#d43205,"hsl(13,95%,43%)","rgb(212,50,5)"
#d02f04,"hsl(13,96%,42%)","rgb(208,47,4)"
#c92903,"hsl(12,97%,40%)","rgb(201,41,3)"
#c32402,"hsl(11,98%,39%)","rgb(195,36,2)"
#be2102,"hsl(10,98%,38%)","rgb(190,33,2)"
#b61c01,"hsl(9,99%,36%)","rgb(182,28,1)"
#b11901,"hsl(8,99%,35%)","rgb(177,25,1)"
#a91501,"hsl(7,99%,33%)","rgb(169,21,1)"
#a01101,"hsl(6,99%,32%)","rgb(160,17,1)"
#9a0e01,"hsl(5,99%,30%)","rgb(154,14,1)"
#910b01,"hsl(4,99%,29%)","rgb(145,11,1)"
#8b0901,"hsl(3,99%,27%)","rgb(139,9,1)"
#810602,"hsl(2,97%,26%)","rgb(129,6,2)"
#7a0402,"hsl(1,97%,24%)","rgb(122,4,2)"
